ds,y,yhat,yhat_lower,yhat_upper
2019-07-19,1596122.33,1366187.6739307458,1120917.2149212118,1624951.5802183328
2019-07-20,1515218.38,1371668.0701416114,1110344.0110668433,1656333.7978216903
2019-07-21,1625532.92,1388298.4754599796,1114691.8262002436,1676988.5005863311
2019-07-22,1414499.67,1371789.4421021,1093028.6034597359,1624994.3000539613
2019-07-23,1473812.86,1395176.9977932766,1128750.4768378679,1662069.0492903234
2019-07-24,1220602.64,1385072.4498204621,1108050.6133413825,1675859.060084583
2019-07-25,1370102.25,1378496.253402859,1101260.141301084,1622720.4935443716
2019-07-26,1680486.94,1358602.4099571235,1100881.8796760526,1628993.4706367697
2019-07-27,1009637.09,1363498.7126641194,1095434.8434204997,1654403.022143063
2019-07-28,1498003.46,1379473.4503024488,1128168.6876660297,1668061.7983977976
2019-07-29,1637121.63,1362263.078468197,1091040.7734346515,1617115.832225244
2019-07-30,1336157.38,1384934.8010547638,1111868.2067548372,1661658.2995952817
2019-07-31,1522358.96,1374135.288273654,1117053.6714073035,1658636.89664999
2019-08-01,1260251.59,1366923.2797982919,1084684.321920419,1625627.6871326522
2019-08-02,1255734.15,1346492.5800499883,1074456.8521634168,1617045.4545580319
2019-08-03,1233687.7,1350990.8093314948,1071283.5626498992,1602379.0546210129
2019-08-04,1108297.82,1366744.5714723032,1085466.7062366223,1623991.1519302253
2019-08-05,1447662.25,1349525.5986161355,1075936.6365609018,1634900.9540924416
2019-08-06,1259097.27,1372431.8677190656,1120929.2572213137,1636110.0198964868
2019-08-07,1452040.91,1362134.965262023,1101469.5696916897,1633153.615854121
2019-08-08,1466914.81,1355711.495902346,1104291.7784902994,1642387.7717838264
2019-08-09,1224404.28,1336365.0846261142,1068329.4744120147,1605055.5791178166
2019-08-10,1137864.11,1342244.3726692146,1056519.7176011316,1610294.3488863455
2019-08-11,1004582.65,1359667.6972454453,1061915.1068598107,1634319.6270677706
2019-08-12,1524288.92,1344389.0369184196,1080835.906958359,1623972.6352123758
2019-08-13,1598366.2,1369479.2295200583,1104597.640094943,1640148.4219600614
2019-08-14,1736145.23,1361573.7420087077,1106857.2822144986,1635039.0779910989
2019-08-15,1373409.42,1357704.7814555548,1094867.3800207386,1613049.044250246
2019-08-16,1606809.28,1341024.2806846914,1063310.9217836598,1617377.7467760332
2019-08-17,1401249.28,1349623.1338311585,1081624.973451583,1631751.3813057814
2019-08-18,1203192.61,1369757.338533487,1084440.568028624,1647823.3614693054
2019-08-19,1237978.27,1357115.5859280324,1085840.270300164,1639459.7005974092
2019-08-20,1650222.37,1384702.258469921,1085771.542252865,1645004.885727442
2019-08-21,1398571.76,1379087.0633907944,1105203.157781703,1665941.5164071796
2019-08-22,1121170.51,1377239.0360376711,1095400.574509079,1641021.3919648116
2019-08-23,1818077.25,1362251.3901512818,1078705.916206592,1620765.2986985978
2019-08-24,1514505.52,1372162.5339461188,1106006.4803983103,1641649.1857508235
2019-08-25,1567504.82,1393183.854134724,1126949.6612763603,1668602.488810011
2019-08-26,995845.4500000001,1380968.7579674735,1128069.0512131196,1655371.2791389644
2019-08-27,1248408.77,1408496.887284937,1120136.281384488,1671430.8695780877
2019-08-28,1544896.8,1402324.6928564375,1110542.497933801,1682357.408522279
2019-08-29,1544381.7,1399420.071452072,1126683.9613508468,1663454.1771932174
2019-08-30,1742850.52,1382887.519669483,1113171.517522101,1655373.312471764
2019-08-31,1269278.99,1390789.1098634705,1135082.46921865,1691825.1109843762
2019-09-01,1667502.54,1409371.8868079656,1107760.9457063738,1655718.0531136857
2019-09-02,1297964.02,1394336.1818383818,1095689.0504463678,1662326.1559814115
2019-09-03,1534353.99,1418718.7752123384,1112020.8459796358,1689411.8202577268
2019-09-04,1154980.8,1409142.1213504146,1138721.2774770914,1661680.8149470736
2019-09-05,1149071.1400000001,1402647.3747238494,1133164.0612931931,1677543.429908526
2019-09-06,1113934.53,1382417.7136807141,1108093.657833495,1660607.589778191
2019-09-07,1730420.87,1386597.3175531747,1104131.3835341732,1642111.7412660564
2019-09-08,1797823.96,1401516.6509647644,1128491.5140018028,1677398.014800016
2019-09-09,1117253.97,1382958.6110726208,1124990.957802664,1675584.2773726974
2019-09-10,1387226.71,1404039.5294573517,1125460.4164978145,1673593.8842097851
2019-09-11,1409811.3,1391456.304498831,1118031.3624851282,1660689.0399436352
2019-09-12,1524948.54,1382317.4615959243,1089339.273942523,1632954.096428175
2019-09-13,1818657.66,1359864.694768171,1094691.833345139,1618661.8331807475
2019-09-14,1312671.68,1362290.2962229382,1082161.9088231577,1625146.2875914527
2019-09-15,1303105.81,1375961.1725203549,1111392.7406497675,1646967.363651584
2019-09-16,1172976.29,1356684.0399206334,1092749.7350229642,1629250.3701778639
2019-09-17,1439975.98,1377585.8185094646,1117581.634659962,1645639.1750087093
2019-09-18,1721741.8,1365360.5190030998,1103050.8452083406,1649166.6929360852
2019-09-19,996390.6,1357100.4272823024,1082653.6168298437,1630834.8031687974
2019-09-20,1417357.44,1336018.137250451,1063776.0991961067,1600742.1881594472
2019-09-21,1192159.21,1340264.8250834488,1070515.0215206302,1627851.0570570354
2019-09-22,1224155.99,1356155.4397803955,1085490.1223130054,1618427.176384481
2019-09-23,1924044.56,1339435.3693398973,1059596.9401054438,1600175.3903833097
2019-09-24,1549344.53,1363162.5603133102,1089121.6320931762,1641028.4343459602
